n,time,,n,time
3333,14001,,3333,42563
6666,77083,,6666,252211
9999,242900,,9999,869552
13332,553393,,13332,1733001
16665,1167161,,16665,3236007
19998,1553954,,19998,5530876
23331,2236887,,23331,8347264
26664,3031832,,26664,11854500
29997,4061817,,29997,16468074
33330,5187830,,33330,20635933
36663,6623796,,36663,25459450
39996,7918749,,39996,31337862
43329,9564725,,43329,37614603
46662,11561354,,46662,45132925
49995,17220378,,49995,52155020
53328,18654642,,53328,65687357
56661,23933387,,56661,71515210
59994,21923483,,59994,83551381
63327,24280471,,63327,95009094
66660,30047979,,66660,108055685
69993,43394331,,69993,142026871
73326,47741045,,73326,174128841
76659,60574865,,76659,176414843
79992,71280664,,79992,175282768
83325,64331302,,83325,192704253
86658,82863280,,86658,220729311
89991,98182251,,89991,250781632
93324,116555825,,93324,248908682
96657,119285626,,96657,299492337
99990,124690671,,99990,327517544
